,county name,pop_density,mean_PRE,sd_PRE,mean_POST,sd_POST
1838,"Cortland, New York, US",98.9,0.0,0.0,0.0,0.0
1839,"Delaware, New York, US",33.3,0.0,0.0,0.1373265360835137,0.0939211625808158
1840,"Dutchess, New York, US",373.9,0.15995704166767974,0.06532419552581539,0.06068847697271261,0.01821047432192511
1841,"Erie, New York, US",881.4,0.2996215332731208,0.08479704590880933,0.11172723450276198,0.02818366641286513
1842,"Essex, New York, US",21.9,0.0,0.0,0.0,0.0
1843,"Franklin, New York, US",31.7,0.0,0.0,0.0,0.0
1844,"Fulton, New York, US",112.1,0.0,0.0,0.0,0.0
1845,"Genesee, New York, US",121.9,0.0,0.0,0.0,0.0
1846,"Greene, New York, US",76.1,0.0,0.0,0.0,0.0
1847,"Hamilton, New York, US",2.8,0.0,0.0,0.0,0.0
1848,"Herkimer, New York, US",45.7,0.1373265360835137,0.09392116258081579,0.0,0.0
1849,"Jefferson, New York, US",91.6,0.0,0.0,0.0,0.0
1850,"Kings, New York, US",35369.1,0.0,0.0,0.0,0.0
1851,"Lewis, New York, US",21.3,0.0,0.0,0.0,0.0
1852,"Livingston, New York, US",103.5,0.0,0.0,0.1373265360835137,0.09392116258081579
1853,"Madison, New York, US",112.2,0.057762265046662126,0.05776226504666212,0.05068313851352055,0.05068313851352055
1854,"Monroe, New York, US",1132.6,0.15497047258770744,0.04421357031292527,0.12094800328271318,0.041625351135709296
1855,"Montgomery, New York, US",124.6,0.0,0.0,0.0,0.0
1856,"Nassau, New York, US",4704.8,0.2677682281701256,0.07353857828137152,0.21573103303481397,0.13290151481979726
1857,"New York City, New York, US",69467.5,0.3646473144002971,0.08626623020311815,0.11000982646529175,0.010039550898403738
1858,"Niagara, New York, US",414.4,0.0,0.0,0.2682396520723501,0.2265605168972558
1859,"Oneida, New York, US",193.7,0.17328679513998632,0.17328679513998632,0.05068313851352055,0.05068313851352055
1860,"Onondaga, New York, US",600.0,0.13411982603617506,0.06522405755518237,0.09855717004553377,0.030257130312493448
1861,"Ontario, New York, US",167.6,0.0,0.0,0.0,0.0
1862,"Orange, New York, US",459.3,0.36093562850473837,0.1564200442446506,0.14642145536881723,0.037571429282346476
1863,"Orleans, New York, US",109.6,0.0,0.0,0.0,0.0
1864,"Oswego, New York, US",128.3,0.0,0.0,0.0,0.0
1865,"Otsego, New York, US",62.2,0.0,0.0,0.0,0.0
1866,"Putnam, New York, US",432.9,0.0,0.0,0.0,0.0
1867,"Queens, New York, US",20553.6,0.0,0.0,0.0,0.0
1868,"Rensselaer, New York, US",244.4,0.0,0.0,0.22396993365350681,0.09799222694510384
1869,"Richmond, New York, US",8030.3,0.0,0.0,0.0,0.0
1870,"Rockland, New York, US",1795.9,0.1924593865726027,0.08739139350249091,0.15633630361167436,0.06043149519153995
1871,"St. Lawrence, New York, US",41.8,0.0,0.0,0.0,0.0
1872,"Saratoga, New York, US",271.1,0.0,0.0,0.1732867951399863,0.17328679513998627
1873,"Schenectady, New York, US",756.6,0.1769009226413921,0.14645106720030732,0.01669142407806531,0.01669142407806531
1874,"Schoharie, New York, US",52.7,0.0,0.0,0.0,0.0
1875,"Schuyler, New York, US",55.9,0.0,0.0,0.0,0.0
1876,"Seneca, New York, US",108.9,0.0,0.0,0.0,0.0
1877,"Steuben, New York, US",71.2,0.0,0.0,0.2997369090997963,0.16669772585508216
1878,"Suffolk, New York, US",1637.4,0.2235819396681784,0.0455872417438473,0.1471669305997046,0.022398971346195343
1879,"Sullivan, New York, US",80.1,0.32188758248682,0.2695873718639168,0.05875045365571692,0.029038548437871202
1880,"Tioga, New York, US",98.6,0.0,0.0,0.0,0.0
1881,"Tompkins, New York, US",214.0,0.0,0.0,0.0,0.0
1882,"Ulster, New York, US",162.3,0.0719205181129452,0.0719205181129452,0.12645011395980998,0.052497103938143885
1883,"Warren, New York, US",75.8,0.0,0.0,0.0,0.0
1884,"Washington, New York, US",76.1,0.0,0.0,0.0,0.0
